userId,movieId,rating,timestamp
1,31,2.5,1260759144
1,1029,3.0,1260759179
1,1061,3.0,1260759182
1,1129,2.0,1260759185
1,1172,4.0,1260759205
1,1263,2.0,1260759151
1,1287,2.0,1260759187
1,1293,2.0,1260759148
1,1339,3.5,1260759125
1,1343,2.0,1260759131
1,1371,2.5,1260759135
1,1405,1.0,1260759203
1,1953,4.0,1260759191
1,2105,4.0,1260759139
1,2150,3.0,1260759194
1,2193,2.0,1260759198
1,2294,2.0,1260759108
1,2455,2.5,1260759113
1,2968,1.0,1260759200
1,3671,3.0,1260759117
2,10,4.0,835355493
2,17,5.0,835355681
2,39,5.0,835355604
2,47,4.0,835355552
2,50,4.0,835355586
2,52,3.0,835356031
2,62,3.0,835355749
2,110,4.0,835355532
2,144,3.0,835356016
2,150,5.0,835355395
2,153,4.0,835355441
2,161,3.0,835355493
2,165,3.0,835355441
2,168,3.0,835355710
2,185,3.0,835355511
2,186,3.0,835355664
2,208,3.0,835355511
2,222,5.0,835355840
2,223,1.0,835355749
2,225,3.0,835355552
2,235,3.0,835355664
2,248,3.0,835355896
2,253,4.0,835355511
2,261,4.0,835355681
2,265,5.0,835355697
2,266,5.0,835355586
2,272,3.0,835355767
2,273,4.0,835355779
2,292,3.0,835355492
2,296,4.0,835355395
2,300,3.0,835355532
2,314,4.0,835356044
2,317,2.0,835355551
2,319,1.0,835355918
2,339,3.0,835355492
2,349,4.0,835355441
2,350,4.0,835355697
2,356,3.0,835355628
2,357,3.0,835355749
2,364,3.0,835355604
2,367,3.0,835355619
2,370,2.0,835355932
2,371,3.0,835355968
2,372,3.0,835356094
2,377,3.0,835355710
2,382,3.0,835356165
2,405,2.0,835356246
2,410,3.0,835355532
2,454,4.0,835355604
2,457,3.0,835355511
2,468,4.0,835355790
2,474,2.0,835355828
2,480,4.0,835355643
2,485,3.0,835355918
2,497,3.0,835355880
2,500,4.0,835355731
2,508,4.0,835355860
2,509,4.0,835355719
2,515,4.0,835355817
2,527,4.0,835355731
2,537,4.0,835356199
2,539,3.0,835355767
2,550,3.0,835356109
2,551,5.0,835355767
2,552,3.0,835355860
2,585,5.0,835355817
2,586,3.0,835355790
2,587,3.0,835355779
2,588,3.0,835355441
2,589,5.0,835355697
2,590,5.0,835355395
2,592,5.0,835355395
2,593,3.0,835355511
2,616,3.0,835355932
2,661,4.0,835356141
2,720,4.0,835355978
3,60,3.0,1298861675
3,110,4.0,1298922049
3,247,3.5,1298861637
3,267,3.0,1298861761
3,296,4.5,1298862418
3,318,5.0,1298862121
3,355,2.5,1298861589
3,356,5.0,1298862167
3,377,2.5,1298923242
3,527,3.0,1298862528
3,588,3.0,1298922100
3,592,3.0,1298923247
3,593,3.0,1298921840
3,595,2.0,1298923260
3,736,3.5,1298932787
3,778,4.0,1298863157
3,866,3.0,1298861687
3,1197,5.0,1298932770
3,1210,3.0,1298921795
3,1235,4.0,1298861628
3,1271,3.0,1298861605
3,1378,4.0,1298861658
3,1580,3.5,1298922089
3,1721,4.5,1298923236
3,1884,4.0,1298863143
3,2028,4.0,1298921862
3,2318,4.0,1298861753
3,2513,3.0,1298861789
3,2694,3.0,1298862710
3,2702,3.5,1298861796
3,2716,3.0,1298924017
